spectrum_index,spectrum_run_id,model_name,climate_key,climate_index,climate_cache_nc,phase_deg,output_nc,status,planet_class_id,separation_id,star_teff_k,star_radius_rsun,stellar_spectrum_filename,stellar_spectrum_w_unit,stellar_spectrum_f_unit,planet_radius_rearth,gravity_ms2,metallicity_xsolar,c_to_o_xsolar,cloud_fraction,cloud_model,fsed,insolation_searth,semi_major_au,picaso_tint_k
30,968e4725c75c,aurora_cahoy_exact_304,fb331e2debdb,13,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb331e2debdb.nc,110.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000030.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,3.16,1.0,0.0,none,,1.5624999999999998,0.8,100.0
31,3fbd6a3792c3,aurora_cahoy_exact_304,fb331e2debdb,13,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb331e2debdb.nc,120.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000031.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,3.16,1.0,0.0,none,,1.5624999999999998,0.8,100.0
32,dc9d4654aa95,aurora_cahoy_exact_304,fb331e2debdb,13,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb331e2debdb.nc,130.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000032.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,3.16,1.0,0.0,none,,1.5624999999999998,0.8,100.0
33,16676e857658,aurora_cahoy_exact_304,fb331e2debdb,13,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb331e2debdb.nc,140.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000033.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,3.16,1.0,0.0,none,,1.5624999999999998,0.8,100.0
34,9912925b0ec2,aurora_cahoy_exact_304,fb331e2debdb,13,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb331e2debdb.nc,150.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000034.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,3.16,1.0,0.0,none,,1.5624999999999998,0.8,100.0
35,ec53414aad67,aurora_cahoy_exact_304,fb331e2debdb,13,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb331e2debdb.nc,160.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000035.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,3.16,1.0,0.0,none,,1.5624999999999998,0.8,100.0
36,c55795cd6cdb,aurora_cahoy_exact_304,fb331e2debdb,13,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb331e2debdb.nc,170.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000036.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,3.16,1.0,0.0,none,,1.5624999999999998,0.8,100.0
37,d735b39d6aa7,aurora_cahoy_exact_304,fb331e2debdb,13,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/fb331e2debdb.nc,180.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000037.nc,pending,jupiter_analog,a08_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,3.16,1.0,0.0,none,,1.5624999999999998,0.8,100.0
38,8f1e6b02c581,aurora_cahoy_exact_304,c63620e8de1f,11,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/c63620e8de1f.nc,0.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000038.nc,pending,jupiter_analog,a20_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,1.0,virga,6.0,0.25,2.0,100.0
39,c0f9f0589978,aurora_cahoy_exact_304,c63620e8de1f,11,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/c63620e8de1f.nc,10.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000039.nc,pending,jupiter_analog,a20_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,1.0,virga,6.0,0.25,2.0,100.0
40,0fd326fb9e95,aurora_cahoy_exact_304,c63620e8de1f,11,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/c63620e8de1f.nc,20.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000040.nc,pending,jupiter_analog,a20_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,1.0,virga,6.0,0.25,2.0,100.0
41,a5cb1819b19f,aurora_cahoy_exact_304,c63620e8de1f,11,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/c63620e8de1f.nc,30.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000041.nc,pending,jupiter_analog,a20_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,1.0,virga,6.0,0.25,2.0,100.0
42,597667192a8d,aurora_cahoy_exact_304,c63620e8de1f,11,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/c63620e8de1f.nc,40.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000042.nc,pending,jupiter_analog,a20_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,1.0,virga,6.0,0.25,2.0,100.0
43,2347b86797df,aurora_cahoy_exact_304,c63620e8de1f,11,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/c63620e8de1f.nc,50.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000043.nc,pending,jupiter_analog,a20_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,1.0,virga,6.0,0.25,2.0,100.0
44,211b3d66fab7,aurora_cahoy_exact_304,c63620e8de1f,11,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/c63620e8de1f.nc,60.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000044.nc,pending,jupiter_analog,a20_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,1.0,virga,6.0,0.25,2.0,100.0
45,de41c46012c5,aurora_cahoy_exact_304,c63620e8de1f,11,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/c63620e8de1f.nc,70.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000045.nc,pending,jupiter_analog,a20_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,1.0,virga,6.0,0.25,2.0,100.0
46,df1668fab39f,aurora_cahoy_exact_304,c63620e8de1f,11,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/c63620e8de1f.nc,80.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000046.nc,pending,jupiter_analog,a20_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,1.0,virga,6.0,0.25,2.0,100.0
47,467cdc311e8c,aurora_cahoy_exact_304,c63620e8de1f,11,roadrunner_egp/aurora_subneptune_grid/cache/climates/aurora_cahoy_exact_304/c63620e8de1f.nc,90.0,roadrunner_egp/aurora_subneptune_grid/outputs/aurora_cahoy_exact_304/nc/run_000047.nc,pending,jupiter_analog,a20_au,5772.0,1.0,roadrunner_egp/aurora_subneptune_grid/data/stellar_spectra/SOLARSPECTRUM.DAT,AA,erg/(s cm2 AA),11.209,25.0,1.0,1.0,1.0,virga,6.0,0.25,2.0,100.0
