wavelength_um,geometric_albedo_cloud_free,geometric_albedo_cloudy_virga,fpfs_reflected_cloud_free,fpfs_reflected_cloudy_virga
0.499,0.021147662870669305,0.023749227814413774,8.649215554096184e-11,9.713233649808994e-11
0.5,0.018271803331801773,0.022286947544782623,7.473013284980775e-11,9.11517336627368e-11
0.501,0.01661511049053496,0.02113262091889154,6.795439901166415e-11,8.643063522825596e-11
0.502,0.015184769256802204,0.019776045154892896,6.210442413636723e-11,8.088235489579404e-11
0.503,0.014695303107651162,0.01942075046360696,6.010254891434805e-11,7.942922960769411e-11
0.504,0.009894865188132963,0.012755346312244904,4.046916314784996e-11,5.216828942112807e-11
0.505,0.008288340851543948,0.010340592030441936,3.389861425786758e-11,4.2292148298007554e-11
0.506,0.007282290197448624,0.008741657402264378,2.9783952028369626e-11,3.575264067459203e-11
0.507,0.006256818753975533,0.007164793308282493,2.5589860410108356e-11,2.930339967251422e-11
0.508,0.005293336988690058,0.005863004466235026,2.1649301341544275e-11,2.39791932249062e-11
0.509,0.004572213242533694,0.004909671208891025,1.8699966107751452e-11,2.0080140696934847e-11
0.51,0.004049128913406026,0.004265971389484193,1.65605953681744e-11,1.7447462786268745e-11
0.511,0.003622307313985634,0.0037683038822974744,1.4814931065169445e-11,1.541204470236423e-11
0.512,0.003117695968404942,0.003198122333629191,1.2751113268535642e-11,1.3080050311513467e-11
0.513,0.0027925991892468536,0.002842852011277883,1.1421494891281967e-11,1.1627024690298596e-11
0.514,0.002547521654719216,0.0025809727523412257,1.0419148468152657e-11,1.0555960632987741e-11
0.515,0.0023771011784065026,0.0024009253524606873,9.7221431094637e-12,9.819581969754378e-12
0.516,0.0022408142944824907,0.0022585711251994493,9.16474126157924e-12,9.237365199915984e-12
0.517,0.002164280631199458,0.0021794171430211985,8.85172504086122e-12,8.913632096162796e-12
0.518,0.002097744758310077,0.002111022326227106,8.579598938691149e-12,8.633903070382132e-12
0.519,0.0020510415118796177,0.0020630777741882846,8.388586604172916e-12,8.437813900735168e-12
0.52,0.002020834658753334,0.002032461842621308,8.265043125398001e-12,8.312597325678307e-12
0.521,0.0019908256385861808,0.0020020621411228185,8.142308766721933e-12,8.188265113344202e-12
0.522,0.0019450907445654252,0.001955419102046413,7.955256911796682e-12,7.997499021820445e-12
